Label,Target1,RA,Dec,RA_SEX,DEC_SEX,,,TOTAL Exp Time [ksec]6,Estimated XRT Count Rate7,Magnitude Of Brightest Object In FOV8,Comment11,PSZ2 ID#,Target ID,Number of Segments Observed,AFST time (s),Exposure time (s),Extended X-rays?,Opt/IR data?,Reobserve in Cycle 13,N_H (10^{22} atoms cm^-2),Swift XRT flux (0.1-2.4 keV),Frac flux error,RA (Swift XRT),Dec (Swift XRT),Optical/IR counterpart (BCG),Optical/IR mag,Optical/IR band,Redshift,Radio flux (mJy),Radio freq/survey,SALT,SALT Redshift
5,PSZ2_G002.04-22.15,291.3595886,-36.5179405,19:25:26,-36:31:05,,,3,0.0101,,Cycle13 S/N=5.1256,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G003.21-76.04,358.3511963,-33.2932396,23:53:24,-33:17:36,,,3,0.0279,,Cycle13 S/N=4.7895,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G009.04+31.09,244.5860138,-4.1892991,16:18:21,-4:11:21,,,3,0.042,,Cycle13 S/N=5.0428,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G010.76-16.91,288.9424133,-26.9947948,19:15:46,-26:59:41,,,3,0.0491,,Cycle13 S/N=4.6352,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G013.06-75.46,356.8526001,-31.1508598,23:47:25,-31:09:03,,,3,0.0301,,Cycle13 S/N=5.2889,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G018.73-15.49,290.7770691,-19.3991756,19:23:06,-19:23:57,,,3,0.0199,,Cycle13 S/N=4.8442,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G018.92-33.64,309.2781372,-25.5929832,20:37:07,-25:35:35,,,3,0.027,,Cycle13 S/N=4.7718,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G023.87-13.88,291.3959961,-14.2055302,19:25:35,-14:12:20,,,3,0.0366,,Cycle13 S/N=4.9082,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G027.99-69.85,350.2088013,-27.0299816,23:20:50,-27:01:48,,,3,0.0244,,Cycle13 S/N=4.5635,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G031.37-71.95,352.6812134,-26.1712856,23:30:43,-26:10:17,,,3,0.0237,,Cycle13 S/N=4.7289,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G032.31+66.07,219.2979126,24.3892384,14:37:11,+24:23:21.25,,,3,0.0174,,Cycle13 S/N=5.138,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G032.77+19.69,265.1224976,8.7112379,17:40:29,+08:42:40.45,,,3,0.0408,,Cycle13 S/N=4.7847,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G035.89-61.39,341.7593384,-22.2282486,22:47:02,-22:13:42,,,3,0.0121,,Cycle13 S/N=4.7326,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G040.11-42.58,324.2706604,-13.0963345,21:37:05,-13:05:47,,,3,0.0364,,Cycle13 S/N=5.0839,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G043.44-41.27,324.1835938,-10.2966156,21:36:44,-10:17:48,,,3,0.0414,,Cycle13 S/N=5.5525,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G045.20+15.63,274.0145874,17.7621651,18:16:04,+17:45:43.79,,,3,0.0442,,Cycle13 S/N=4.6503,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G045.47+17.80,272.0322266,18.8742886,18:08:08,+18:52:27.43,,,3,0.0365,,Cycle13 S/N=4.6699,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G051.40-61.15,344.5480347,-15.2724276,22:58:12,-15:16:21,,,3,0.0151,,Cycle13 S/N=4.6046,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G058.31+41.96,249.0507812,36.0554123,16:36:12,+36:03:19.48,,,3,0.0098,,Cycle13 S/N=4.5354,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G059.52+16.23,279.339325,30.6641903,18:37:21,+30:39:51.08,,,3,0.0285,,Cycle13 S/N=4.7797,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G059.76+14.59,281.1949158,30.2467766,18:44:47,+30:14:48.39,,,3,0.0118,,Cycle13 S/N=4.8858,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G069.47-29.06,326.5036011,13.987607,21:46:01,+13:59:15.38,,,3,0.0358,,Cycle13 S/N=5.1432,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G076.81-32.57,333.6921997,15.9245243,22:14:46,+15:55:28.28,,,3,0.0099,,Cycle13 S/N=4.6847,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G079.36+38.06,254.8538971,52.0756645,16:59:25,+52:04:32.39,,,3,0.0151,,Cycle13 S/N=4.9471,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G086.35-13.94,327.4344788,35.7104149,21:49:44,+35:42:37.49,,,3,0.0116,,Cycle13 S/N=5.4227,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G089.06-11.79,328.2214966,39.0645866,21:52:53,+39:03:52.51,,,3,0.0136,,Cycle13 S/N=5.7164,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G092.64+20.78,289.1859131,61.6802368,19:16:45,+61:40:48.85,,,3,0.0153,,Cycle13 S/N=5.1219,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G094.31-11.31,333.2398987,42.5787926,22:12:58,+42:34:43.65,,,3,0.0179,,Cycle13 S/N=4.7245,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G105.00+39.68,238.1512146,70.5333557,15:52:36,+70:32:00.08,,,3,0.0144,,Cycle13 S/N=4.9721,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G106.11+24.11,290.3512878,74.556076,19:21:24,+74:33:21.87,,,3,0.0552,,Cycle13 S/N=5.7025,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G106.21+26.32,282.1361084,75.0586777,18:48:33,+75:03:31.23,,,3,0.0356,,Cycle13 S/N=4.9013,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G120.76+44.14,198.1616516,72.8898621,13:12:39,+72:53:23.50,,,3,0.0272,,Cycle13 S/N=5.5857,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G125.25+33.33,175.5136108,83.4778442,11:42:03,+83:28:40.23,,,3,0.0335,,Cycle13 S/N=5.384,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G125.55+32.72,171.3945923,83.9580994,11:25:35,+83:57:29.15,,,3,0.0353,,Cycle13 S/N=6.4852,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G126.36-19.11,17.3427696,43.6337013,1:09:22,+43:38:01.32,,,3,0.0334,,Cycle13 S/N=5.0096,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G131.15-14.72,24.6438885,47.3943138,1:38:35,+47:23:39.52,,,3,0.0451,,Cycle13 S/N=5.3709,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G139.72-17.13,34.9805565,42.8316536,2:19:55,+42:49:53.95,,,3,0.0114,,Cycle13 S/N=5.1164,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G150.64-14.21,49.3320427,40.6768875,3:17:20,+40:40:36.79,,,3,0.0171,,Cycle13 S/N=4.6777,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G156.24+22.32,101.2348785,59.4509544,6:44:56,+59:27:03.43,,,3,0.0146,,Cycle13 S/N=4.7885,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G179.45-43.92,49.811718,2.1336763,3:19:15,+02:08:01.23,,,3,0.0242,,Cycle13 S/N=4.5372,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G180.74-85.21,17.307909,-24.510788,1:09:14,-24:30:39,,,3,0.0109,,Cycle13 S/N=5.1676,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G183.92-68.82,32.0046196,-15.6243362,2:08:01,-15:37:28,,,3,0.0419,,Cycle13 S/N=4.8647,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G183.92+16.36,105.4893723,32.8598328,7:01:57,+32:51:35.39,,,3,0.0238,,Cycle13 S/N=4.974,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G185.68+09.82,99.3389664,28.6406174,6:37:21,+28:38:26.22,,,3,0.0272,,Cycle13 S/N=5.1836,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G186.50-13.45,77.9523315,16.205883,5:11:49,+16:12:21.17,,,3,0.0255,,Cycle13 S/N=5.2192,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G193.90+09.41,102.7990799,21.1486225,6:51:12,+21:08:55.04,,,3,0.0336,,Cycle13 S/N=5.0611,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G195.03-79.43,23.823616,-23.4606533,1:35:18,-23:27:38,,,3,0.0229,,Cycle13 S/N=4.6701,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G210.02-56.38,49.1152344,-20.7778683,3:16:28,-20:46:40,,,3,0.0178,,Cycle13 S/N=4.7332,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G218.58+08.71,113.1884003,-1.0031259,7:32:45,-1:00:11,,,3,0.0332,,Cycle13 S/N=4.6284,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G225.18-33.61,75.9983749,-24.1887627,5:04:00,-24:11:20,,,3,0.0158,,Cycle13 S/N=4.6782,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G225.76-17.35,92.5719528,-18.9449272,6:10:17,-18:56:42,,,3,0.0483,,Cycle13 S/N=5.0404,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G226.12-19.51,90.6139984,-20.1029263,6:02:27,-20:06:11,,,3,0.0381,,Cycle13 S/N=4.5715,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G227.30+09.00,117.5642471,-8.4398375,7:50:15,-8:26:23,,,3,0.0336,,Cycle13 S/N=4.6178,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G229.40-15.49,95.8813629,-21.4042149,6:23:32,-21:24:15,,,3,0.0231,,Cycle13 S/N=4.6687,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G232.27+12.59,123.1989441,-10.8505783,8:12:48,-10:51:02,,,3,0.0222,,Cycle13 S/N=4.5194,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G240.03-19.81,95.6318665,-32.4179001,6:22:32,-32:25:04,,,3,0.0218,,Cycle13 S/N=5.1741,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G240.71-74.03,29.8348389,-33.5395241,1:59:20,-33:32:22,,,3,0.0208,,Cycle13 S/N=5.2565,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G242.74-11.66,105.6921539,-31.702919,7:02:46,-31:42:11,,,3,0.0215,,Cycle13 S/N=4.6612,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G246.45-07.68,111.8392792,-33.231041,7:27:21,-33:13:52,,,3,0.0163,,Cycle13 S/N=5.4876,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G246.91+24.65,141.5201263,-15.1874084,9:26:05,-15:11:15,,,3,0.0209,,Cycle13 S/N=4.8031,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G247.14+25.88,142.6282959,-14.5477543,9:30:31,-14:32:52,,,3,0.0578,,Cycle13 S/N=5.3698,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G250.43-09.02,112.6018753,-37.3536758,7:30:24,-37:21:13,,,3,0.0204,,Cycle13 S/N=6.4441,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G251.21-16.74,103.9362564,-41.2524681,6:55:45,-41:15:09,,,3,0.027,,Cycle13 S/N=4.7147,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G251.55-42.78,68.253334,-45.8395157,4:33:01,-45:50:22,,,3,0.0311,,Cycle13 S/N=4.7843,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G253.43+30.57,150.092041,-15.4101095,10:00:22,-15:24:36,,,3,0.0318,,Cycle13 S/N=4.9375,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G256.41+32.31,153.2545471,-15.8915491,10:13:01,-15:53:30,,,3,0.0224,,Cycle13 S/N=4.953,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G263.65+27.87,155.32164,-23.3148766,10:21:17,-23:18:54,,,3,0.0235,,Cycle13 S/N=5.187,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G268.07+09.39,145.2400513,-40.2458839,9:40:58,-40:14:45,,,3,0.0171,,Cycle13 S/N=4.7296,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G270.07-20.02,109.0292664,-59.1583672,7:16:07,-59:09:30,,,3,0.0164,,Cycle13 S/N=5.424,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G270.45-14.50,118.9004745,-57.2498703,7:55:36,-57:15:00,,,3,0.0225,,Cycle13 S/N=4.8509,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G270.88+37.23,166.3311615,-18.9486103,11:05:19,-18:56:55,,,3,0.0138,,Cycle13 S/N=5.4886,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G271.04-12.16,123.1561432,-56.5993042,8:12:37,-56:35:57,,,3,0.0194,,Cycle13 S/N=5.2764,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G271.15+21.10,157.0896606,-32.7954865,10:28:22,-32:47:44,,,3,0.0109,,Cycle13 S/N=4.9957,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G271.53+36.41,166.3724518,-19.9187584,11:05:29,-19:55:08,,,3,0.0128,,Cycle13 S/N=5.1926,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G271.55+26.00,160.5608063,-28.8802357,10:42:15,-28:52:49,,,3,0.0248,,Cycle13 S/N=5.0151,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G274.73-16.79,118.6129608,-61.9600449,7:54:27,-61:57:36,,,3,0.0221,,Cycle13 S/N=5.6486,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G277.93+12.34,158.0673523,-43.6660233,10:32:16,-43:39:58,,,3,0.0236,,Cycle13 S/N=5.0917,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G278.56+10.74,157.6282349,-45.3503075,10:30:31,-45:21:01,,,3,0.0201,,Cycle13 S/N=4.7861,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G278.92+31.06,169.7376099,-27.4578094,11:18:57,-27:27:28,,,3,0.0482,,Cycle13 S/N=5.1782,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G280.39-10.48,136.6507416,-63.0359535,9:06:36,-63:02:09,,,3,0.0297,,Cycle13 S/N=4.9988,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G284.30-26.75,99.8761902,-73.4026108,6:39:30,-73:24:09,,,3,0.0133,,Cycle13 S/N=4.7316,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G285.18+16.11,169.0743408,-43.4527817,11:16:18,-43:27:10,,,3,0.053,,Cycle13 S/N=5.8403,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G285.28-47.35,42.5380173,-65.4993744,2:50:09,-65:29:58,,,3,0.027,,Cycle13 S/N=5.0999,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G287.55-14.25,141.6886444,-70.7315063,9:26:45,-70:43:53,,,3,0.0268,,Cycle13 S/N=5.1011,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G289.50+32.71,179.9768982,-28.804657,11:59:54,-28:48:17,,,3,0.0119,,Cycle13 S/N=4.9718,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G292.04+22.91,179.9441071,-38.8609428,11:59:47,-38:51:39,,,3,0.0471,,Cycle13 S/N=5.5945,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G293.35-10.50,162.5448608,-71.089798,10:50:11,-71:05:23,,,3,0.0109,,Cycle13 S/N=4.7797,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G296.59-10.50,171.9015198,-72.3373108,11:27:36,-72:20:14,,,3,0.0116,,Cycle13 S/N=4.8153,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G297.91+31.43,187.8533173,-31.2421665,12:31:25,-31:14:32,,,3,0.0143,,Cycle13 S/N=4.963,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G299.54+17.83,188.3017883,-44.918541,12:33:12,-44:55:07,,,3,0.0384,,Cycle13 S/N=6.0212,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G305.59-54.80,9.5577507,-62.2546196,0:38:14,-62:15:17,,,3,0.0214,,Cycle13 S/N=5.2612,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G308.04-15.48,216.094574,-77.4267426,14:24:23,-77:25:36,,,3,0.0685,,Cycle13 S/N=4.6593,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G310.22+23.02,201.5511932,-39.3544693,13:26:12,-39:21:16,,,3,0.0195,,Cycle13 S/N=4.7233,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G311.33-48.50,358.1152344,-67.6484604,23:52:28,-67:38:54,,,3,0.0223,,Cycle13 S/N=5.2805,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G315.71-83.81,11.2291975,-33.1467171,0:44:55,-33:08:48,,,3,0.0133,,Cycle13 S/N=4.5523,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G316.43+54.02,200.8194427,-8.0130281,13:23:17,-8:00:47,,,3,0.0237,,Cycle13 S/N=5.1838,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G316.89-32.24,309.09552,-76.8455887,20:36:23,-76:50:44,,,3,0.0262,,Cycle13 S/N=5.1829,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G317.79+26.63,208.9920197,-34.3669739,13:55:58,-34:22:01,,,3,0.0578,,Cycle13 S/N=5.7615,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G322.44+20.29,216.6178589,-38.9511566,14:26:28,-38:57:04,,,3,0.0894,,Cycle13 S/N=5.2562,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G323.96+43.81,208.5254822,-16.4825687,13:54:06,-16:28:57,,,3,0.0284,,Cycle13 S/N=4.9739,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G325.19+49.12,207.4979095,-11.199295,13:49:59,-11:11:57,,,3,0.0244,,Cycle13 S/N=4.6205,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G328.05+15.79,225.4370575,-40.6348381,15:01:45,-40:38:05,,,3,0.1368,,Cycle13 S/N=5.5805,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G337.95+22.70,230.4398651,-29.7548523,15:21:46,-29:45:17,,,3,0.0154,,Cycle13 S/N=6.0316,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G339.74-51.08,333.7589417,-53.3557014,22:15:02,-53:21:21,,,3,0.01,,Cycle13 S/N=4.6088,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G341.09-33.15,302.6888428,-56.6366386,20:10:45,-56:38:12,,,3,0.0247,,Cycle13 S/N=6.3198,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G343.68+24.10,234.1434631,-25.4146862,15:36:34,-25:24:53,,,3,0.0179,,Cycle13 S/N=5.6439,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G349.18+38.66,227.9724121,-11.2784748,15:11:53,-11:16:43,,,3,0.0508,,Cycle13 S/N=5.1507,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G353.36-26.49,294.1021423,-45.2953758,19:36:25,-45:17:43,,,3,0.0414,,Cycle13 S/N=4.7288,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G356.21-43.11,317.8339844,-44.4344254,21:11:20,-44:26:04,,,3,0.0298,,Cycle13 S/N=5.1663,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G356.88-11.33,276.5105896,-37.097435,18:26:03,-37:05:51,,,3,0.8901,,Cycle13 S/N=5.1058,,,,,,,,,,,,,,,,,,,,,
5,PSZ2_G358.80-10.83,276.9624023,-35.1774406,18:27:51,-35:10:39,,,3,0.0979,,Cycle13 S/N=4.6598,,,,,,,,,,,,,,,,,,,,,
6,PSZ1_G021.88+17.75,262.0860901,-1.344346,17:28:21,-1:20:40,,,3,0.0191,,Cycle13 S/N=5.637,72,85589,2,665,629,Indeterminate,,y,,,,, ,,,,-1,,,,
6,PSZ1_G027.95+15.63,266.7042847,2.7766864,17:46:49,+02:46:36.07,,,3,0.0257,,Cycle 13 S/N=4.768,94,85591,3,1390,1324,No,,y,,,,, ,,,,-1,,,,
6,PSZ1_G028.15-08.63,288.4256592,-8.1476851,19:13:42,-8:08:52,,,3,0.0119,,Cycle 13 S/N=5.072,98,,,0,,,,y,,,,, ,,,,-1,,,,
6,PSZ1_G047.53+08.55,281.7441101,16.8431625,18:46:59,+16:50:35.38,,,3,0.023,,Cycle 13 S/N=5.816,185,85594,4,2840,2530,No,,n,,,,, ,,,,-1,,,,
6,PSZ1_G048.22-51.60,335.0523071,-12.2165394,22:20:13,-12:13:00,,,3,0.0204,,Cycle 13 S/N=4.505,192,85595,2,2645,2570,Yes,,n,0.039,5.71E-13,0.15,22 20 16.8,-12 11 39.8,,,,0.544,,,,
6,PSZ1_G057.42-10.77,304.3560791,16.0925293,20:17:25,+16:05:33.10,,,3,0.0755,,Cycle 13 S/N=4.757,-999.1,85597,3,1505,1444,Yes,,n,0.113,2.56E-12,0.09779091327,20 17 28.1,+16 03 36,2MASX J20172578+1603270 ,,,-1,,,,
6,PSZ1_G078.39+46.13,242.2711945,50.2099686,16:09:05,+50:12:35.88,,,3,0.0109,,Cycle 13 S/N=4.904,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
6,PSZ1_G103.50+31.36,264.1903992,72.5537109,17:36:46,+72:33:13.35,,,3,0.0133,,Cycle 13 S/N=4.635,-999.1,85601,12,3305,3049,Yes,,n,,,,17 36 49,+72 34 17,,,,-1,,,,
6,PSZ1_G123.39+30.62,186.4329376,86.4757462,12:25:44,+86:28:32.68,,,3,0.0233,,Cycle 13 S/N=4.533,604,85604,3,570,490,Possible,,y,,,,, ,,,,-1,,,,
6,PSZ1_G135.68+45.61,167.4548035,68.9123383,11:09:49,+68:54:44.41,,,3,0.0107,,Cycle 13 S/N=4.577,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
6,PSZ1_G262.45+49.34,167.7163391,-5.4615383,11:10:52,-5:27:42,,,3,0.0104,,Cycle 13 S/N=4.604,-999.1,85623,3,1340,829,Indeterminate,,y,,,,, ,,,,-1,,,,
6,PSZ1_G278.94-17.62,121.0917282,-65.9300537,8:04:22,-65:55:48,,,3,0.0172,,Cycle 13 S/N=4.633,1298,85627,1,865,839,Indeterminate,,y,,,,, ,,,,-1,,,,
6,PSZ1_G281.49-08.34,141.6461945,-62.3463326,9:26:35,-62:20:47,,,3,0.0211,,Cycle 13 S/N=5.125,1310,85628,5,1885,1788,Yes,,y,0.184,4.74E-13,0.22,09 26 54,-62 20 0.6,,,,-1,,,2016-2,
6,PSZ1_G286.07-42.77,49.758831,-69.222229,3:19:02,-69:13:20,,,3,0.0274,,Cycle 13 S/N=4.889,1333,85630,2,595,382,Indeterminate,Opt,y,,,,, ,,,,-1,,,,
6,PSZ1_G291.58-23.91,117.7628098,-79.2771301,7:51:03,-79:16:38,,,3,0.0158,,Cycle 13 S/N=4.608,-999.1,85636,2,845,801,Yes,,n,0.126,8.24E-13,0.24,, ,,,,-1,,,,
6,PSZ1_G294.39-14.34,159.2046814,-74.9175491,10:36:49,-74:55:03,,,3,0.0621,,Cycle 13 S/N=4.98,1388,85637,2,1535,1476,Yes,,n,0.0808,3.93E-13,0.24,, ,,,,-1,,,,
6,PSZ1_G297.20-44.90,25.826355,-71.640564,1:43:18,-71:38:26,,,3,0.0282,,Cycle 13 S/N=4.681,1407,85797,,,,,,y,,,,, ,,,,-1,,,,
6,PSZ1_G305.77+44.80,194.9767609,-18.0330143,12:59:54,-18:01:59,,,3,0.0146,,Cycle 13 S/N=4.717,1441,,,0,,,,y,,,,, ,,,,-1,,,,
6,PSZ1_G305.97-37.15,359.2900696,-79.6524582,23:57:10,-79:39:09,,,3,0.0387,,Cycle 13 S/N=5.993,1444,85641,3,2890,2835,Yes,Opt,n,0.0614,1.77E-12,0.075,23 57 19.6,-79 38 44,,,,-1,,,,
6,PSZ1_G306.96+50.58,195.4776611,-12.2070036,13:01:55,-12:12:25,,,3,0.0116,,Cycle 13 S/N=4.605,-999.1,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G309.93+09.20,204.3975525,-53.0368767,13:37:35,-53:02:13,,,3,0.07,,Cycle 13 S/N=5.213,-999.3,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G311.65-18.48,237.5553284,-78.2005692,15:50:13,-78:12:02,,,3,0.0328,,Cycle 13 S/N=4.636,-999.1,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G312.36+17.83,205.3895721,-44.104023,13:41:33,-44:06:14,,,3,0.0503,,Cycle 13 S/N=4.64,1472,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G323.34+27.37,214.2705994,-32.0827293,14:17:05,-32:04:58,,,3,0.0124,,Cycle 13 S/N=4.587,1521,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G327.27+11.05,227.8356323,-45.1025047,15:11:21,-45:06:09,,,3,0.0102,,Cycle 13 S/N=6.289,1540,,,0,,,Opt,y,,,,,,,,,-1,,,,
6,PSZ1_G327.61-06.08,245.4434052,-58.4759216,16:21:46,-58:28:33,,,3,0.1068,,Cycle 13 S/N=4.903,-999.1,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G337.21-12.59,265.3502808,-54.7810974,17:41:24,-54:46:52,,,3,0.0633,,Cycle 13 S/N=5.11,1574,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G349.51-06.86,266.9917908,-41.4478722,17:47:58,-41:26:52,,,3,0.0248,,Cycle 13 S/N=6.103,1628,,,0,,,,y,,,,,,,,,-1,,,,
6,PSZ1_G357.43+30.60,238.6789703,-12.2805719,15:54:43,-12:16:50,,,3,0.0114,,Cycle 13 S/N=5.469,-999.2,,,0,,,,y,,,,,,,,,-1,,,,